Date,Coin,Price,Open,High,Low,Vol.,Change %
14/01/2024,ETH,2473.96,2578.36,2578.37,2470.21,316.45K,-4.05%
13/01/2024,ETH,2578.36,2523.99,2589.98,2498.48,436.91K,2.15%
12/01/2024,ETH,2523.98,2618.08,2712.88,2462.93,931.96K,-3.59%
11/01/2024,ETH,2618.08,2581.90,2688.26,2567.55,889.36K,1.41%
10/01/2024,ETH,2581.79,2344.29,2629.68,2342.21,1.12M,10.11%
9/01/2024,ETH,2344.67,2330.99,2369.60,2229.25,588.19K,0.59%
8/01/2024,ETH,2330.98,2221.40,2357.14,2167.42,565.23K,4.93%
7/01/2024,ETH,2221.40,2240.49,2254.70,2209.46,216.41K,-0.85%
6/01/2024,ETH,2240.49,2268.14,2269.65,2217.05,202.82K,-1.22%
5/01/2024,ETH,2268.12,2267.29,2275.25,2207.40,426.01K,0.04%
4/01/2024,ETH,2267.27,2209.49,2293.17,2202.99,467.01K,2.62%
3/01/2024,ETH,2209.49,2355.28,2383.92,2122.78,852.01K,-6.19%
2/01/2024,ETH,2355.27,2352.06,2430.53,2347.62,491.56K,0.14%
1/01/2024,ETH,2352.03,2281.89,2352.03,2266.75,229.28K,3.07%
31/12/2023,ETH,2281.90,2291.70,2320.91,2264.67,232.62K,-0.43%
30/12/2023,ETH,2291.70,2299.24,2322.76,2269.23,219.92K,-0.33%
29/12/2023,ETH,2299.24,2344.48,2385.26,2265.63,475.37K,-1.93%
28/12/2023,ETH,2344.47,2378.63,2443.59,2338.46,626.91K,-1.44%
27/12/2023,ETH,2378.63,2230.76,2391.53,2213.78,577.27K,6.63%
26/12/2023,ETH,2230.74,2271.38,2274.71,2184.60,429.50K,-1.79%
25/12/2023,ETH,2271.38,2263.57,2303.28,2253.25,298.17K,0.35%
24/12/2023,ETH,2263.57,2308.60,2325.08,2247.73,319.33K,-1.95%
23/12/2023,ETH,2308.61,2324.24,2330.07,2267.39,266.30K,-0.67%
22/12/2023,ETH,2324.23,2239.62,2341.52,2232.83,620.73K,3.78%
21/12/2023,ETH,2239.62,2202.19,2277.72,2183.35,471.46K,1.70%
20/12/2023,ETH,2202.19,2177.45,2263.30,2161.76,440.35K,1.14%
19/12/2023,ETH,2177.44,2218.82,2254.75,2137.80,400.94K,-1.86%
18/12/2023,ETH,2218.80,2197.01,2223.30,2123.06,388.26K,0.99%
17/12/2023,ETH,2197.04,2229.07,2247.84,2196.06,233.48K,-1.44%
16/12/2023,ETH,2229.07,2220.41,2262.68,2212.80,206.79K,0.39%
15/12/2023,ETH,2220.41,2315.40,2317.42,2213.18,349.63K,-4.11%
14/12/2023,ETH,2315.64,2260.18,2331.63,2237.39,461.60K,2.45%
13/12/2023,ETH,2260.18,2203.49,2283.84,2148.87,436.64K,2.57%
12/12/2023,ETH,2203.49,2225.33,2243.34,2168.18,377.05K,-0.98%
